recipe_name,ingredient_text,number_of_servings,calories,protein,protein_density,num_vegetable_servings,ingredient_embedding,target
Boozy Bbq Chicken,white wine beer broccoli slow cook brown rice cherry tomotoes dijon mustard ginger garlic bell pepper ground pepper lemon soy sauce molasses bite sized mushrooms olive oil orange orange juice pepper bell pepper onion newman's own salad dressing salt tabasco sauce water white wine chicken wooden skewers wooden skewers,6,725,32,0.0441379310344827,10,"[-0.1255947   0.03611845 -0.67655602  0.10510057  0.46160326  0.23432245
 -0.16422352 -0.06039463 -0.13226174 -0.03097649 -0.29526916  0.27646949
  0.74268212 -0.03848423 -0.00967639 -0.05569918  0.04066178  0.31792697
 -0.27733229 -0.8803684   0.21084537 -0.35978025  1.07184885 -0.01256343
 -0.53751822 -0.46533157  0.18657988  0.89051853  0.77238282 -0.3100019
  1.67522129 -0.15325281 -0.33783798  0.61322569  0.10518753  0.28351634
 -0.62324524  0.47467255  0.68059587 -0.3829354   0.50218095  0.23087426
 -0.09310382 -0.29770051  0.73691439  0.78044711 -0.00426143 -0.3742988
 -0.14319873 -0.04561196]",10.088275862068965
Easy Baked Parmesan Chicken,chicken breast halves egg bread crumbs pasta sauce mozzarella cheese parmesan cheese,4,497,62,0.124748490945674,0,"[ 0.1347495  -0.18558085 -0.9604616  -0.25112683  0.5908398   1.1035279
 -0.03139008  0.08871091 -0.26759002 -0.1667921  -0.1810255  -0.07787549
  1.0803589   0.38883945  0.07049035 -0.11038956  0.10486263  0.28441748
 -0.01867775 -0.57830405  0.26479584 -0.79764754  1.3548166   0.49084178
 -0.55455667 -0.13006084 -0.26266468  1.0431117   0.923917   -0.49289587
  1.4080325   0.16691963 -0.38853657  1.5325834  -0.1922087   0.26632
 -0.68119913  1.42873     1.2685667  -0.47339666  0.8854842   0.06506416
 -0.04274149 -0.07843024  0.80711335  1.0998259   0.24511133  0.331806
 -0.05083942  0.04353283]",0.249496981891348
Moroccan Chicken Tagine,moroccan spice mixture almond slivers apricot halves chick peas canned tomatoes cilantro extra virgin olive oil chicken broth flour ginger root garlic clove salt and ground pepper honey onion chicken breasts,6,224,14,0.0625,5,"[ 0.05319381 -0.01376655 -0.59966636  0.11267076  0.5909938   0.3816245
  0.00265664  0.01676097 -0.03936138  0.08504201 -0.14006613  0.15014876
  0.8707131  -0.01295637  0.01018319  0.02452615  0.12595001  0.22972628
 -0.09683679 -0.49031556  0.11657887 -0.44707182  1.3577188   0.17094992
 -0.5570623  -0.13286655  0.25995573  0.8645603   0.916005   -0.30666196
  1.6532238  -0.0163636  -0.23948544  0.85224223 -0.04021     0.3922678
 -0.7586614   0.43508962  0.66313165 -0.49217984  0.6528249   0.07365933
 -0.13581006 -0.39334348  0.7755089   0.83923477  0.07858126 -0.1363924
 -0.2802031  -0.19288507]",5.125
Cassoulet with Chicken or Duck,beans water beef broth tomato paste onion celery thyme sprigs bay leaf cloves flat-leaf parsley sprigs plus peppercorns canned tomatoes duck legs olive oil chicken sausage coarse bread crumbs salt pepper,8,651,51,0.0783410138248847,4,"[-0.03344607  0.09624315 -0.64012626  0.13753377  0.57357593  0.27268607
  0.06178903  0.05895984 -0.11622407 -0.15652551 -0.34156452  0.33370958
  1.07254516 -0.1039748   0.05609581 -0.19786178  0.04680806  0.27978139
 -0.19296584 -0.51634836  0.07654119 -0.7132502   1.33750614  0.0267612
 -0.53221322 -0.05549822  0.69405242  1.01551387  1.09094056 -0.41538965
  1.58989484 -0.03497013 -0.07088326  0.87274439 -0.17984067  0.59324125
 -0.75671258  0.51215826  0.82257726 -0.57154312  0.74402448 -0.06762232
  0.034388   -0.23795336  0.90184503  0.922169    0.15266774 -0.01498401
 -0.17164258 -0.14214352]",4.15668202764977
Maple-Glazed Thanksgiving Turkey,turkey butter orange juice natural maple syrup thyme kosher salt freshly cracked pepper bay leaves celery onion carrots garlic chicken stock,12,158,8,0.050632911392405,5,"[-0.04860637  0.15134172 -0.61112756  0.07909628  0.55535823  0.28068712
 -0.03389814 -0.02077643 -0.19311476 -0.03623985 -0.25805423  0.24079032
  0.77218944 -0.15724953 -0.03095139  0.02625737 -0.02200368  0.33070073
 -0.28001624 -0.51117057  0.13699314 -0.59115094  1.2644033   0.04083819
 -0.7430476  -0.39904666  0.5211084   1.0548742   1.0287806  -0.3737923
  1.7566267  -0.03450413 -0.221678    0.6776039  -0.08595315  0.27975196
 -0.71512556  0.42961743  0.9007485  -0.45743152  0.52324    -0.19618607
  0.00518708 -0.21357301  0.81934565  1.146648   -0.02399925 -0.12255929
 -0.18778355 -0.2482762 ]",5.10126582278481
Grilled Chicken & Corn Red Potato Salad,grilled chicken dijon mustard ear corn extra virgin olive oil jalapeno chiles olive oil pepper onion potatoes red wine vinegar salt,8,248,13,0.0524193548387096,3,"[ 0.0212559   0.07410502 -0.6170457  -0.04591786  0.54050493  0.08920594
 -0.16756976  0.01267332 -0.07338144  0.00321271 -0.15258186  0.20488107
  1.0347884  -0.18721576  0.02648157 -0.05870967  0.02363256  0.2761772
 -0.3066348  -0.7216567   0.01471267 -0.61209166  1.2205737  -0.12608725
 -0.83432436 -0.47546777  0.24499328  0.9890361   0.9049905  -0.18750225
  1.657537   -0.08345068 -0.34606233  0.72442853  0.1269143   0.31134522
 -0.7236869   0.5228816   0.855217   -0.40339038  0.6452861   0.2859422
  0.06007696 -0.53532946  0.8764347   0.96690905 -0.11452371 -0.0847463
 -0.2931882  -0.00649829]",3.104838709677419
Crispy Buttermilk-herb fried chicken,basil bread crumbs buttermilk canola oil chicken breast halves chicken wings chilly powder eggs flour garlic cloves paprika pepper salt chicken drumsticks chicken thighs spring onions thyme,4,491,42,0.0855397148676171,3,"[-0.02470381  0.00702163 -0.57688886 -0.13033608  0.62720364  0.6376552
  0.09532303  0.09584826 -0.03907388 -0.20261213 -0.10573507  0.0521934
  0.904183    0.10915275 -0.08558237  0.10043393  0.02288834  0.3042162
 -0.40053785 -0.41077155  0.16545808 -0.4653288   1.4863297   0.11030796
 -0.57547104 -0.14268051  0.37512395  0.8801303   1.177834   -0.27174467
  1.4141632   0.20459765 -0.22131544  1.020344   -0.11967955  0.34682503
 -0.63043493  0.7326551   0.7780434  -0.34201664  0.65036917 -0.07620607
  0.04337975 -0.30023056  0.90191054  1.0724345   0.06589226 -0.1214011
 -0.4654038  -0.04910445]",3.1710794297352343
Artisan Farfalle Pasta With Smoked Salmon and Cream Sauce,chicken broth 5%% cooking cream extra virgin oil artisan pasta shallots salmon sun tomatoes white wine,2,762,28,0.0367454068241469,1,"[ 0.06211063  0.11788375 -0.54674188 -0.06666631  0.46646737  0.05733068
 -0.3337433  -0.18418319  0.01846018  0.24382663 -0.09181162  0.27684862
  1.00296436  0.23959681  0.21602657 -0.07002694  0.05547161  0.17971675
 -0.28136897 -0.69431357  0.35118    -0.4229805   1.02766737  0.06844294
 -0.4458275  -0.27822875  0.0866525   0.70448605  0.82124687 -0.05777494
  1.80629874  0.1016775  -0.23986688  0.79067948 -0.03586755  0.15076063
 -0.60366249  0.66419682  0.68220063 -0.30370749  0.5407397   0.25046038
  0.14758931 -0.19429131  0.54372056  0.7643418  -0.15317    -0.1201505
 -0.00693081  0.10667474]",1.0734908136482937
Balsamic Wheat & Chicken Salad,wheat onion bell pepper chicken breast balsamic vinegrette salad dressing,4,473,26,0.054968287526427,2,"[-0.05000237  0.0373976  -0.78565447  0.00761747  0.69495869  0.385704
 -0.0036703  -0.0074852  -0.0466059  -0.1948245  -0.225648    0.1834429
  0.72265299  0.0271948   0.01505117 -0.02261399 -0.14979843  0.1725718
 -0.201845   -0.5126212   0.1347186  -0.460955    1.12792101 -0.0247369
 -0.6410837  -0.29715239  0.1321838   0.72936591  0.72940429 -0.286261
  1.44216771  0.073226   -0.141564    0.918218    0.21164919  0.39188059
 -0.49375301  0.773138    0.82164499 -0.384722    0.39112613  0.1865497
 -0.0924538  -0.2976277   1.05594099  0.781527    0.1338352  -0.149362
 -0.196482    0.26374151]",2.109936575052854
Easy Ginger Beef Broccoli,broccoli chicken broth flour ginger garlic round steak soy sauce sugar,4,386,49,0.1269430051813471,3,"[-0.16009454 -0.21040918 -0.9917546   0.20170073  0.5022824   0.40270182
  0.31866246  0.16269419 -0.09149928  0.14467974 -0.16987945  0.361397
  0.9777008   0.01251908  0.18921345  0.04360036  0.13238913  0.27831453
 -0.14180472 -0.62415653  0.4333273  -0.68606     1.7687302   0.18100284
 -0.66426367 -0.1672139   0.36322933  0.8355656   1.2026519  -0.20240034
  1.5744933   0.09261598 -0.35142997  1.4093972   0.12365701  0.2785652
 -0.72856903  1.0325973   0.9058054  -0.43375453  0.67522967  0.24311663
 -0.00235473 -0.5194544   1.0387827   1.1065655   0.15177055 -0.20749608
 -0.1953899   0.393171  ]",3.2538860103626943
Lemon Pepper Steak,chuck arm steak dill weed lemon juice cracked pepper salt water,36,35,3,0.0857142857142857,1,"[-0.12759547 -0.12230477 -0.473921    0.24784355  0.21059717  0.50271195
 -0.04808527  0.18944082  0.17378543 -0.07467119 -0.3682001   0.45521644
  0.40330455 -0.19852409 -0.11252353 -0.10064082  0.25594363  0.40124658
 -0.15547465 -0.7471936   0.05836055 -0.30530575  1.1530354   0.01145075
 -0.555214   -0.5072287   0.42212456  0.82246643  0.8775036  -0.35434252
  1.6159207  -0.23095337 -0.17305727  0.66950417 -0.078468    0.4650877
 -0.55983996  0.37928966  1.0331845  -0.4637163   0.5551061   0.13685825
 -0.35229665 -0.03966455  0.75890636  0.52001816 -0.0712019  -0.4499645
 -0.0682891   0.11001518]",1.1714285714285715
Oven Rib-Eye Steaks with Cream Sauce,kosher salt rib-eye steaks pepper garlic powder paprika mushrooms olive oil heavy cream salt pepper lemon juice mozzarella cheese butter,3,903,56,0.0620155038759689,2,"[-0.19297945  0.106418   -0.72215099  0.0274646   0.4071705   0.50538604
 -0.01149485  0.12091005 -0.18341006  0.14073779 -0.16149445  0.127729
  0.9232915  -0.15695445 -0.0209416  -0.12063245  0.1380987   0.39161647
 -0.4198516  -0.83866351  0.3101401  -0.47097495  1.46023499  0.11879635
 -0.94509549 -0.2330962   0.23986615  1.07547051  1.19255751 -0.26813844
  1.453148   -0.0989452  -0.376609    0.7994261   0.05287825  0.22338915
 -0.79947705  0.6593675   1.167787   -0.3052509   0.8851415   0.03297255
  0.18138295 -0.3142805   0.9108765   1.03152451 -0.0967752   0.07751746
 -0.10551295 -0.09742841]",2.1240310077519378
Japanese Steak Salad,well-trimmed beef top sirloin 3 cups napa cabbage carrots rice cucumber sherry ginger green onion hoisin sauce soy sauce oriental roasted sesame oil pea pods radishes rice wine vinegar romaine lettuce sugar water,8,148,15,0.1013513513513513,7,"[-0.05342264  0.05369197 -0.73540002  0.17797105  0.40385475  0.13701806
 -0.0797169  -0.16432378 -0.17127494 -0.15469621 -0.14908291  0.37751724
  0.79391664 -0.03639818  0.158724    0.00631444  0.0663151   0.51502733
 -0.12091048 -0.55276885  0.15885184 -0.64665736  1.29277848  0.07006191
 -0.60220394 -0.18683913  0.2028475   0.91427564  0.73015485 -0.21427709
  1.36120848  0.04452807 -0.29454345  0.96367345  0.26557506  0.33170331
 -0.84187636  0.64710963  0.71924448 -0.44459354  0.30622233  0.07713179
  0.07827582 -0.58060539  0.85182742  0.82955697  0.19581594 -0.03066154
 -0.03853506  0.074435  ]",7.202702702702703
Entrecote Steak with Asparagus,asparagus beef tenderloin butter coconut oil garlic kosher salt olive oil onions bell pepper,2,963,42,0.043613707165109,4,"[-0.09449349 -0.15335365 -0.74789345 -0.01979856  0.69022715  0.24793212
 -0.101203   -0.0556623   0.05644077 -0.0717775  -0.2740617   0.26120216
  1.0098636  -0.08024299  0.02309757  0.03707843  0.21207783  0.25100794
 -0.18063007 -0.6388983   0.44738585 -0.6317499   1.2220179  -0.09053671
 -0.83912975 -0.34994468  0.6173584   0.9545235   1.0907179  -0.22686492
  1.6856009  -0.26171654 -0.27709013  0.98499733  0.01674828  0.17635284
 -0.8147597   0.61384636  0.9716715  -0.27435616  0.50617456  0.07653828
  0.27221328 -0.45016783  0.9311727   1.1408827  -0.21137635  0.00272226
 -0.36007473  0.01709857]",4.087227414330218
Home Made Dry-Aged Sirloin Steak with Cheesy Roast Fingerling Potatoes,sirloin steaks fingerling potatoes mexican cheese blend extra virgin olive oil granulated garlic ground pepper pepper flakes cilantro chives garlic cloves green onions,2,1061,81,0.0763430725730443,4,"[-0.11407    -0.09800884 -0.50830483  0.00244148  0.70910925  0.30779672
  0.0795387  -0.0142086  -0.29306868 -0.18191138 -0.2988183   0.26181576
  0.89959085 -0.0894857  -0.12915808 -0.180923    0.11947627  0.26804247
 -0.29178372 -0.7531635   0.04826747 -0.56425285  1.2624183   0.03325891
 -0.7843147  -0.07643835  0.5692014   0.8931268   1.1120893  -0.26319143
  1.4547256   0.09593166 -0.19958897  0.8155965   0.09524025  0.4991473
 -0.8398186   0.5076139   0.6417714  -0.67096484  0.7699998   0.10386425
  0.17604983 -0.49134564  0.801533    1.0889707   0.08666926 -0.07521991
 -0.2866481  -0.01605318]",4.152686145146089
Steak with lemon and capers,beef steak butter capers wine flour garlic ground pepper lemon juice lemon wedges olive oil parsley salt,2,949,47,0.0495258166491043,4,"[-0.13148034  0.03387471 -0.721977    0.05321731  0.59354234  0.43171474
 -0.07233488  0.10492582 -0.16391587  0.01616123 -0.28337923  0.3477365
  0.87564766 -0.2913835  -0.05045498 -0.12166373  0.20693979  0.3663289
 -0.14739612 -0.94941396  0.2131007  -0.5627076   1.3822712   0.03262147
 -0.7634264  -0.20897035  0.5267243   1.081602    1.2347405  -0.17810763
  1.6924615  -0.07664071 -0.45420966  0.92349005  0.07145987  0.3076744
 -0.9470962   0.6333764   1.0939788  -0.4083658   0.7956256   0.09518857
 -0.11037699 -0.44738647  0.7188321   1.0487849  -0.05348254 -0.00854173
 -0.17592429 -0.02916177]",4.099051633298209
